meter_urn,status,val_mae,val_mape,test_mae,test_mape,val_f1,val_precision,val_recall,val_auc,best_k,threshold_W
H1.K11,OK,1268.2356015678224,39.10897723142372,2268.378684073614,39.272962207757246,0.40460010454783063,0.3552088113813676,0.46994535519125685,0.5843858029433691,0.5,2643.742902849496
H1.K12,OK,2089.956727338098,28.764206632601297,351.0756131914214,92.3794151214232,0.4007597340930674,0.41865079365079366,0.3843351548269581,0.5906072914901972,4.0,24484.35060218087
H1.K14,OK,5400.461262493744,581.3419184989294,4003.389748682731,114.8734421014048,0.44415243101182655,0.39156626506024095,0.5130540376442015,0.717503542522749,0.6,8390.525339565716
H1.K15,OK,1007.4639565191201,31.558177001270167,1092.3298533035834,49.97044852212117,0.3706088992974239,0.3578292820802713,0.3843351548269581,0.5629476415794333,0.5,2121.605898295737
H1.K16,OK,248.45441873916752,6.473759784448416,647.0563749280569,9.909698699327732,0.33685558757604867,0.35636856368563685,0.3193685488767456,0.5089908067321283,1.4,648.8610478013238
H1.W11,OK,32372.970470427128,163.16103458706218,33639.2905683253,1710.4978028005792,0.29611542730299667,0.23337998600419874,0.4049787492410443,0.49126449129285776,0.5,48166.66322908709
H1.W12,OK,14546.29933378651,541.6200550247837,37860.307182675766,2408.6071239187677,0.14242526032919045,0.1593984962406015,0.12871888281724347,0.20179198901763226,4.0,153049.19610397515
H1.Z10,OK,432.288713657033,7.914761478466155,286.5664029177538,23.18195887258905,0.2324699936828806,0.24226464779460172,0.22343655130540377,0.5061313988116736,3.8,4255.8210348170805
H1.Z11,OK,1220.364296207608,250.21205421205332,1125.2710646664632,115.60758971596098,0.4475062000551116,0.40968718466195764,0.4930176077717061,0.7409549774578672,0.5,2187.2024769412055
H1.Z12,OK,1130.6377852951932,180.2534696250928,1071.2159246067363,81.56733985145195,0.4393258426966292,0.4087820177731312,0.474802671523983,0.6970996620978301,0.5,2185.6114947067817
H1.Z13,OK,673.2457261515337,6.966253399291053,524.7841686169031,20.99032546944172,0.3853944562899787,0.3434679334916865,0.43897996357012753,0.6501631727345911,0.5,1330.531110791831
H1.Z14,OK,631.3741382816107,6.699621263189591,515.6271469353185,15.231227099003378,0.3812124522119061,0.34640198511166254,0.4238008500303582,0.6471040615236722,0.6,1348.8326922164488
H1.Z15,OK,24305.213104251467,101.17440502036834,38205.69567066563,59.83124117609818,0.3057324840764331,0.3215003348961822,0.29143897996357016,0.3186994859456949,3.9,117429.45185043267
H1.Z16,OK,638.748207689452,68.09652472091481,792.5758833607198,42.992993545573114,0.2723781388478582,0.26524741081703107,0.2799028536733455,0.6974432988427102,4.0,6411.041688660172
H1.Z17,OK,3768.9025724351145,5.533806434084918,3377.3329600802795,6.463642680961197,0.41401106136423493,0.3655813953488372,0.4772313296903461,0.6711215121417587,0.6,7026.983524403299
H1.Z18,OK,443.39965635357146,29.190045093404848,269.61089108090516,216.51351061704767,0.28024369016536116,0.2683333333333333,0.29326047358834245,0.4660504843964841,3.3,3843.7566513710294
H1.Z19,OK,70.93000737993637,13.95729687944072,21.690339211155614,,0.20743034055727555,0.28601921024546423,0.16272009714632665,0.44555393148890143,3.2,2564.9812209911024
H1.Z20,OK,55172.589855682294,382.09921453202276,69691.03582495131,373.14151747218455,0.17573504562352146,0.19817073170731708,0.15786278081360047,0.19065181105319629,1.7,191588.08894560128
H1.Z21,OK,134.53531601089387,614.1234806350242,131.33344108968592,1358.7079078938352,0.20480737569970364,0.2237410071942446,0.18882817243472982,0.410942619667666,0.6,543.6705402564882
H1.Z22,OK,141.51990734888457,40.92551887143532,119.57810322287634,32.711383207614894,0.22526041666666666,0.24280701754385964,0.2100789313904068,0.4098773019831561,1.8,1229.8610792861293
H1.Z23,OK,1150.6053134747892,112.49369813129486,808.6633869483768,1384.1873224139429,0.1821390751853159,0.2175379426644182,0.15664845173041894,0.46113853638762925,3.3,8324.266195868016
H1.Z24,OK,1180.2951368753336,63.67159419773517,355.99295899314706,82.30724635790365,0.35841193244132485,0.2805631868131868,0.49605343047966,0.6029995766920607,3.7,7834.3427990123555
H1.Z25,OK,1160.6102535032423,79.61089266472918,436.9331609597397,134.33689881625762,0.3605412483631602,0.28143100511073255,0.5015179113539769,0.5883534721975986,3.8,7394.4454605851715
H1.Z26,OK,1205.9419573893526,27.1583502090462,1278.815526755845,20.40119768050925,0.2749926707710349,0.26587301587301587,0.2847601700060716,0.530514548966923,0.5,2240.914421286757
H1.Z27,OK,5613.982454765318,80.41586966005903,5971.120232356824,97.69781462209164,0.2713335261787677,0.2591160220994475,0.2847601700060716,0.5149670218163369,0.5,11089.365735308595
H1.Z28,OK,10676.21253394262,47.85891811325568,16786.765009017672,67.14793351582604,0.2924773022049287,0.313848295059151,0.2738312082574378,0.29933763470232083,3.9,54680.276507711846
H1.Z29,OK,51050.069926389995,27.237963308577278,70123.27756784907,174.01355624820158,0.32608111737845824,0.2923892100192678,0.36854887674559805,0.23327865788182311,1.9,189227.27062282222
H1.Z310,OK,10940.782965557073,,10501.949351358535,,0.3756955263743601,0.2965565706254392,0.5124468731026108,0.6640648330910366,0.8,13355.125684930219
H1.ZE20,OK,7343.324369067224,99.99814870683443,69972.30532720675,99.99693884679928,0.33090106906499234,0.22962788506829956,0.5919854280510018,0.5225949258204272,0.5,0.0006741114215747311
H2.K21,OK,2347.837481107053,136.44811194830226,1909.94659187417,75.86719404615094,0.45770120853689894,0.39696699375557537,0.5403764420157863,0.6776525801866495,0.5,3452.120401171772
H2.T.Z30,OK,1071.2605131073553,6.344519517394296,1168.8519729365073,7.010814974245701,0.25992414664981034,0.22270363951473138,0.31208257437765635,0.48842434454026873,0.5,1601.7620168876665
H2.T.Z31,OK,406.06291573366985,54.428676983257226,1308.1132251850356,35.49041514792696,0.35641938133041334,0.32452642073778665,0.39526411657559196,0.6370626018598409,0.5,740.5854733705148
H2.T.Z32,OK,534.8868972447879,8.387108472753908,537.2656337021203,8.065216654546473,0.3162024323264025,0.23355549116198204,0.4893746205221615,0.5312935756563353,0.5,628.8803201924493
H2.T.Z33,OK,8028.014833130173,53.47464674704797,8962.04016415345,37.24348362567049,0.30355809902960934,0.2571669477234401,0.37037037037037035,0.5431946135268555,0.5,9893.329056535204
H2.T.Z34,OK,1641.9520447722084,2.155909983187747,2128.422150822779,2.717615811227642,0.35657319269359405,0.309375,0.4207650273224044,0.4657715476654808,3.8,6922.062465445826
H2.Z311,OK,32861.00061602292,3970.4524414180523,31364.496408612606,4197.802611497547,0.375526490800266,0.29574022346368717,0.5142683667273831,0.636167745510944,0.5,29595.02998508078
H2.Z35,OK,245.30582106231157,,276.7238163082687,,0.32249758609591245,0.34315068493150686,0.30418943533697634,0.45801967178094444,0.5,8730.985075260192
H2.Z351,OK,9971.979361631753,27.385456249303207,10029.417647704857,25.709494975388324,0.3477036776350519,0.244796828543112,0.5998785670916819,0.6279424388753403,0.5,7223.8119400139
H2.Z36,OK,257.1699383859068,,285.07360241709466,,0.3206205559146736,0.3427781617138908,0.30115361262902246,0.45622045982536247,0.5,8437.92086341475
H2.Z361,OK,10059.268314019488,26.988500550389123,9844.916503287206,42.83193735923299,0.3672581185135588,0.2535243817887682,0.6660595021250759,0.645871171678729,0.5,7031.369963267073
H2.Z61,OK,105.37824955711693,0.8022963080488082,227.8446170773383,9.471880617594689,0.2627463246793869,0.2709677419354839,0.2550091074681239,0.4883086024315474,0.8,502.752270387967
H2.Z62,OK,0.6195314543180711,2.5659474629371464,2286.5839322790525,7.903766245071771,0.37573770491803277,0.40841054882394867,0.34790528233151186,0.44410886236976277,0.5,6.4091297860062575
H2.Z63,OK,80.36417250273668,0.45935612697906514,2369.613736998278,188.43158679376464,0.4480463096960926,0.4280973451327434,0.46994535519125685,0.49277806888406483,3.7,1005.5254074981978
H2.Z64,OK,124.31863162557553,1.049770659708417,120.50957802633657,1.1953109551912384,0.3845020004211413,0.29432624113475175,0.554341226472374,0.4718407416600237,1.5,674.1239496657323
H2.Z65,OK,185.99187334369253,1.6315497778467702,228.4789152979036,2.4076381975009307,0.3695299837925446,0.2626728110599078,0.6229508196721312,0.4339636550517447,1.9,952.3724234875372
H2.Z66,OK,361.73580722952886,378.049369331235,470.75175528925905,306.63243603788027,0.33352501437607823,0.3167667941015838,0.3521554341226472,0.4488527129136062,2.9,1558.7885848489764
H2.Z67,OK,344.78909940121355,560.9854190698159,259.53452700922685,987.68810476936,0.3482099068170672,0.29206088029617444,0.43108682452944747,0.5445734504937644,0.6,607.919553333576
H2.Z68,OK,85.90834573541494,3.158189576627928,94.87051139907227,3.499294733854889,0.4764638346727899,0.4518236254763201,0.50394656952034,0.7068614846245539,3.0,385.99759945126345
H2.Z69,OK,44.55271147388363,15.289089082837181,61.72295541266669,4.396621674613108,0.37931867600869773,0.315008025682183,0.47662416514875533,0.5947308448779958,0.5,60.72678741308176
H2.Z70,OK,122.35356094874821,37.33681201268072,240.3295613846236,45.37746822544546,0.3939393939393939,0.3605648008068583,0.43412264723740135,0.6290768341118784,0.5,237.15196637254357
H2.ZE64,OK,7905.017032616516,99.99983815645848,12380.375542066882,99.99985766982464,0.38625703564727953,0.23935474494986195,1.0,0.7672385920261392,2.1,5.878653946725505e-05
H2.ZE65,OK,7728.979110569223,99.9999381690425,11488.784765972656,99.99994230235359,0.38625703564727953,0.23935474494986195,1.0,0.8238876128365178,2.7,0.0001713497027568537
H2.ZE66,OK,2271.9130424492923,99.99931402005143,4451.307302262929,99.99965165710336,0.38625703564727953,0.23935474494986195,1.0,0.6901757975546197,2.1,0.00038113138608531123
H2.ZE67,OK,1776.4331920607635,99.98981077685727,1296.319382614753,99.9842477293941,0.386347642505278,0.23942433493240298,1.0,0.7666505135508882,2.0,0.00017690710794520368
H2.ZE74,OK,373.6243793839837,99.99104044186544,356.0474697108725,99.98914734598532,0.3827117462530498,0.23663793103448275,1.0,0.9627292899764445,3.9,1.583554604589833e-05
H3.Z312,OK,17430.80112059878,,19742.050708758088,,0.32866007814295567,0.2644230769230769,0.43412264723740135,0.5738474489239791,0.5,18379.473107248392
H3.Z40,OK,451.5238554416049,4.99889569472455,463.9199082357056,5.758898782593131,0.26900584795321636,0.3103174603174603,0.2374013357619915,0.3471727450972667,4.0,2478.4227454799243
H3.Z41,OK,349.73224901101514,7.192457861045969,365.6559231083239,7.78217054143562,0.27558831868443434,0.25851063829787235,0.29508196721311475,0.48310432242494605,0.7,703.2754653506788
H3.Z42,OK,1022.730022277508,69.854058200667,3153.32824243403,78.09667048940385,0.2737286149519569,0.22290076335877862,0.35458409228901033,0.42795355782224487,0.5,992.8978670252831
H3.Z43,OK,523.0691775671808,39.03346867087157,564.0584918150033,23.889078428875255,0.30139411374197833,0.23711699164345404,0.4134790528233151,0.5838688594630774,0.5,825.1949008285237
H3.Z44,OK,399.9811272293931,58.3992567499493,809.3940150882079,57.88575077974335,0.2602709304907839,0.20518207282913165,0.35579842137219186,0.5209379838547638,0.6,611.1387958871453
H3.Z45,OK,670.2109063978489,76.83470457272207,733.6420185761656,79.52523983345962,0.30773333333333336,0.2743699476937708,0.3503339404978749,0.6301967834725171,0.5,1157.0966396990184
H3.Z46,OK,291.30495127684605,4.40163636428416,310.1831940015082,7.07205859791696,0.24533605928954766,0.2118270079435128,0.29143897996357016,0.2917049591816455,4.0,1682.036812995902
H3.Z47,OK,414.9264419261263,8.611928239851666,409.82893537925963,8.799004390015606,0.3255378858746492,0.26473944465576266,0.4225865209471767,0.5060914756637334,4.0,1956.810233124562
H3.Z48,OK,357.07271299724414,583.5852467229454,324.1528170619552,434.63987721740597,0.31785063752276865,0.25428051001821494,0.4238008500303582,0.5131345405708047,4.0,2544.5828385047216
H3.Z49,OK,171.84978706396768,177.59998509362106,145.76418875852156,167.50863805309302,0.32298980747451866,0.25758670520231214,0.4329083181542198,0.5544124927934778,0.8,213.80199046382359
H3.Z71,OK,69.16888542018143,0.9353848705085139,106.3981536115622,1.4698641295765773,0.40795454545454546,0.3833422317138281,0.43594414086217365,0.47905720085326975,1.0,451.33874791695706
H3.ZE40,OK,6040.57648338178,99.99967876392209,8114.964584647458,99.99994126420681,0.38284518828451886,0.23673997412677877,1.0,0.58662609564308,2.0,0.0007756360023480163
H3.ZE41,OK,3177.8674716595647,99.99983580148444,4467.141542075059,99.99988845488605,0.38284518828451886,0.23673997412677877,1.0,0.5953872129484076,2.3,0.00043074988123572384
H3.ZE43,OK,2708.300831510995,99.99509157066029,4532.696602793784,99.99884229914638,0.38284518828451886,0.23673997412677877,1.0,0.7768160326459286,1.6,0.0009999282542860098
H3.ZE44,OK,1912.8681882949952,99.99849700747731,4649.400714895965,99.9992695515573,0.3817360064897439,0.23589229447149815,1.0,0.7016596560393173,4.0,6.755318816488587e-07
H4.Z50,OK,728.5842475059901,17.742870572626344,1311.6623070476294,18.61467834426467,0.22607578676942838,0.23994546693933197,0.21372191863995144,0.465536911620569,2.1,4496.797610854216
H4.Z51,OK,214.30533470519097,4.962911945748179,284.7488650237106,5.013968567377921,0.27974044700793077,0.2315035799522673,0.3533697632058288,0.4731549661638189,0.5,364.6607285298122
H4.ZE50,OK,2191.5940994476623,99.99945072837623,2965.9264685905546,99.99947411627561,0.3858950328022493,0.23907678908404703,1.0,0.6630735833520474,3.5,9.799377803972618e-06
H4.ZE51,OK,4004.999508164296,99.99980999104633,5215.261903189811,99.99979708768348,0.3862117481533591,0.23931996512641673,1.0,0.6253892835239532,3.6,0.00010570711490654761
V.K21,OK,7821.671684623414,200.7440315810113,6692.62820971748,78.04644434846594,0.45288753799392095,0.38852672750977835,0.5428051001821493,0.6359572297012462,0.5,13104.413799228889
V.Z81,OK,21251.7787979099,47.2689804480252,30700.294026021922,77.58598614831979,0.3001936733376372,0.32046864231564437,0.28233151183970856,0.3166411675069351,3.9,100596.17619250741
